id,station_name,line_name,station_type,lat,lng,source
0231,경대병원,대구 도시철도 2호선,urban_rail,35.863102,128.60316,KRIC_전체_도시철도역사정보_20260228
1451,경마공원,안산과천선,urban_rail,37.443987,127.007899,KRIC_전체_도시철도역사정보_20260228
0327,경복궁(정부서울청사),3호선,urban_rail,37.575844,126.973576,KRIC_전체_도시철도역사정보_20260228
7008,경산,대경선,urban_rail,35.8192,128.7276,KRIC_전체_도시철도역사정보_20260228
0212,경성대·부경대,부산 도시철도 2호선,urban_rail,35.13757,129.10055,KRIC_전체_도시철도역사정보_20260228
3115,경인교대입구,인천지하철 1호선,urban_rail,37.538272,126.722603,KRIC_전체_도시철도역사정보_20260228
U113,경전철의정부,의정부,urban_rail,37.73729974,127.043321,KRIC_전체_도시철도역사정보_20260228
0351,경찰병원,3호선,urban_rail,37.495754,127.124198,KRIC_전체_도시철도역사정보_20260228
0220,계명대,대구 도시철도 2호선,urban_rail,35.85146491,128.491969,KRIC_전체_도시철도역사정보_20260228
3114,계산,인천지하철 1호선,urban_rail,37.543243,126.728436,KRIC_전체_도시철도역사정보_20260228
A06|3110,계양,인천국제공항선·인천지하철 1호선,urban_rail,37.571769,126.736319,KRIC_전체_도시철도역사정보_20260228
0552,고덕,5호선,urban_rail,37.555002,127.154214,KRIC_전체_도시철도역사정보_20260228
0640,고려대(종암),6호선,urban_rail,37.59034,127.03626,KRIC_전체_도시철도역사정보_20260228
0239,고산,대구 도시철도 2호선,urban_rail,35.842955,128.69335,KRIC_전체_도시철도역사정보_20260228
1873,고색,수인선,urban_rail,37.249829,126.9805899,KRIC_전체_도시철도역사정보_20260228
0339|0734,고속터미널,3호선·7호선,urban_rail,37.504953,127.004916,KRIC_전체_도시철도역사정보_20260228
4123,고속터미널,서울 도시철도 9호선,urban_rail,37.505933,127.004044,KRIC_전체_도시철도역사정보_20260228
1757,고잔,수인선·안산과천선,urban_rail,37.316821,126.823094,KRIC_전체_도시철도역사정보_20260228
Y121,고진,에버라인,urban_rail,37.24463834,127.2141836,KRIC_전체_도시철도역사정보_20260228
0413,고촌,부산 경량도시철도 4호선,urban_rail,35.23603,129.1605,KRIC_전체_도시철도역사정보_20260228
G108,고촌,김포도시철도,urban_rail,37.60125,126.770361,KRIC_전체_도시철도역사정보_20260228
1272,곡산,경의중앙선·서해선,urban_rail,37.645729,126.801877,KRIC_전체_도시철도역사정보_20260228
U122,곤제,의정부,urban_rail,37.75054343,127.0838651,KRIC_전체_도시철도역사정보_20260228
1506,곤지암,경강선,urban_rail,37.350525,127.346186,KRIC_전체_도시철도역사정보_20260228
0322,공단,대구 도시철도 3호선,urban_rail,35.892,128.5536,KRIC_전체_도시철도역사정보_20260228
0529,공덕,5호선,urban_rail,37.544005,126.951058,KRIC_전체_도시철도역사정보_20260228
0626,공덕,6호선,urban_rail,37.543592,126.951664,KRIC_전체_도시철도역사정보_20260228
A02,공덕,인천국제공항선,urban_rail,37.5427105,126.9516296,KRIC_전체_도시철도역사정보_20260228
1262,공덕,경의중앙선,urban_rail,37.542711,126.952134,KRIC_전체_도시철도역사정보_20260228
0716,공릉(서울과학기술대),7호선,urban_rail,37.625642,127.072969,KRIC_전체_도시철도역사정보_20260228
115,공항,광주도시철도 1호선,urban_rail,35.144179,126.81153,KRIC_전체_도시철도역사정보_20260228
0004,공항,부산김해경전철,urban_rail,35.171906,128.948586,KRIC_전체_도시철도역사정보_20260228
4103,공항시장,서울 도시철도 9호선,urban_rail,37.563726,126.810678,KRIC_전체_도시철도역사정보_20260228
A09,공항화물청사,인천국제공항선,urban_rail,37.45902611,126.4774333,KRIC_전체_도시철도역사정보_20260228
1453,과천,안산과천선,urban_rail,37.432805,126.996404,KRIC_전체_도시철도역사정보_20260228
1705,관악,경부선,urban_rail,37.419578,126.908476,KRIC_전체_도시철도역사정보_20260228
S411,관악산,수도권 경량도시철도 신림선,urban_rail,37.46916896,126.944954837,KRIC_전체_도시철도역사정보_20260228
D019,광교(경기대),신분당선,urban_rail,37.30173474,127.0448561,KRIC_전체_도시철도역사정보_20260228
D018,광교중앙(아주대),신분당선,urban_rail,37.2884537,127.051609,KRIC_전체_도시철도역사정보_20260228
0546,광나루(장신대),5호선,urban_rail,37.545301,127.103478,KRIC_전체_도시철도역사정보_20260228
1750,광명,경부선,urban_rail,37.415995,126.884523,KRIC_전체_도시철도역사정보_20260228
0748,광명사거리,7호선,urban_rail,37.47927,126.854854,KRIC_전체_도시철도역사정보_20260228
0209,광안,부산 도시철도 2호선,urban_rail,35.15792,129.113197,KRIC_전체_도시철도역사정보_20260228
1019,광운대,경원선·경의중앙선·경춘선,urban_rail,37.62357,127.06181,KRIC_전체_도시철도역사정보_20260228
117,광주송정,광주도시철도 1호선,urban_rail,35.137529,126.791488,KRIC_전체_도시철도역사정보_20260228
0533,광화문(세종문화회관),5호선,urban_rail,37.571645,126.976568,KRIC_전체_도시철도역사정보_20260228
0624,광흥창(서강),6호선,urban_rail,37.547464,126.931971,KRIC_전체_도시철도역사정보_20260228
0002,괘법르네시떼,부산김해경전철,urban_rail,35.1632616,128.9776836,KRIC_전체_도시철도역사정보_20260228
